yearend,locationabbr,sample_size,income,classid,questionid,stratificationcategory1,stratification1,stratificationcategoryid1,stratificationid1,data_value
2011,AL,1368.0,Data not reported,PA,Q047,Income,Data not reported,INC,INCNR,39.5
2012,AL,1225.0,"Less than $15,000",OWS,Q036,Income,"Less than $15,000",INC,INCLESS15,40.8
2012,AL,1598.0,"$15,000 - $24,999",OWS,Q036,Income,"$15,000 - $24,999",INC,INC1525,35.2
2012,AL,871.0,"$25,000 - $34,999",OWS,Q036,Income,"$25,000 - $34,999",INC,INC2535,29.0
2012,AL,1014.0,"$35,000 - $49,999",OWS,Q036,Income,"$35,000 - $49,999",INC,INC3550,34.5
2012,AL,1017.0,"$50,000 - $74,999",OWS,Q036,Income,"$50,000 - $74,999",INC,INC5075,34.5
2012,AL,1414.0,"$75,000 or greater",OWS,Q036,Income,"$75,000 or greater",INC,INC75PLUS,28.9
2012,AL,1512.0,Data not reported,OWS,Q036,Income,Data not reported,INC,INCNR,28.4
2012,AL,1225.0,"Less than $15,000",OWS,Q037,Income,"Less than $15,000",INC,INCLESS15,28.2
2012,AL,1598.0,"$15,000 - $24,999",OWS,Q037,Income,"$15,000 - $24,999",INC,INC1525,31.8
2012,AL,871.0,"$25,000 - $34,999",OWS,Q037,Income,"$25,000 - $34,999",INC,INC2535,37.5
2012,AL,1014.0,"$35,000 - $49,999",OWS,Q037,Income,"$35,000 - $49,999",INC,INC3550,37.7
2012,AL,1017.0,"$50,000 - $74,999",OWS,Q037,Income,"$50,000 - $74,999",INC,INC5075,36.1
2012,AL,1414.0,"$75,000 or greater",OWS,Q037,Income,"$75,000 or greater",INC,INC75PLUS,38.5
2012,AL,1512.0,Data not reported,OWS,Q037,Income,Data not reported,INC,INCNR,34.8
2012,AL,1278.0,"Less than $15,000",PA,Q047,Income,"Less than $15,000",INC,INCLESS15,40.4
2012,AL,1633.0,"$15,000 - $24,999",PA,Q047,Income,"$15,000 - $24,999",INC,INC1525,30.4
2012,AL,907.0,"$25,000 - $34,999",PA,Q047,Income,"$25,000 - $34,999",INC,INC2535,26.9
2012,AL,1038.0,"$35,000 - $49,999",PA,Q047,Income,"$35,000 - $49,999",INC,INC3550,26.1
2012,AL,1042.0,"$50,000 - $74,999",PA,Q047,Income,"$50,000 - $74,999",INC,INC5075,20.6
2012,AL,1446.0,"$75,000 or greater",PA,Q047,Income,"$75,000 or greater",INC,INC75PLUS,14.3
2012,AL,1670.0,Data not reported,PA,Q047,Income,Data not reported,INC,INCNR,31.6
2013,AL,882.0,"Less than $15,000",OWS,Q036,Income,"Less than $15,000",INC,INCLESS15,37.2
2013,AL,1115.0,"$15,000 - $24,999",OWS,Q036,Income,"$15,000 - $24,999",INC,INC1525,36.6
2013,AL,588.0,"$25,000 - $34,999",OWS,Q036,Income,"$25,000 - $34,999",INC,INC2535,33.1
2013,AL,656.0,"$35,000 - $49,999",OWS,Q036,Income,"$35,000 - $49,999",INC,INC3550,31.1
2013,AL,719.0,"$50,000 - $74,999",OWS,Q036,Income,"$50,000 - $74,999",INC,INC5075,35.8
2013,AL,1029.0,"$75,000 or greater",OWS,Q036,Income,"$75,000 or greater",INC,INC75PLUS,26.9
2013,AL,1255.0,Data not reported,OWS,Q036,Income,Data not reported,INC,INCNR,28.9
2013,AL,882.0,"Less than $15,000",OWS,Q037,Income,"Less than $15,000",INC,INCLESS15,31.4
2013,AL,1115.0,"$15,000 - $24,999",OWS,Q037,Income,"$15,000 - $24,999",INC,INC1525,33.9
2013,AL,588.0,"$25,000 - $34,999",OWS,Q037,Income,"$25,000 - $34,999",INC,INC2535,35.2
2013,AL,656.0,"$35,000 - $49,999",OWS,Q037,Income,"$35,000 - $49,999",INC,INC3550,40.7
2013,AL,719.0,"$50,000 - $74,999",OWS,Q037,Income,"$50,000 - $74,999",INC,INC5075,38.0
2013,AL,1029.0,"$75,000 or greater",OWS,Q037,Income,"$75,000 or greater",INC,INC75PLUS,36.7
2013,AL,1255.0,Data not reported,OWS,Q037,Income,Data not reported,INC,INCNR,35.3
2013,AL,816.0,"Less than $15,000",FV,Q018,Income,"Less than $15,000",INC,INCLESS15,49.3
2013,AL,1040.0,"$15,000 - $24,999",FV,Q018,Income,"$15,000 - $24,999",INC,INC1525,50.4
2013,AL,572.0,"$25,000 - $34,999",FV,Q018,Income,"$25,000 - $34,999",INC,INC2535,46.3
2013,AL,640.0,"$35,000 - $49,999",FV,Q018,Income,"$35,000 - $49,999",INC,INC3550,44.8
2013,AL,710.0,"$50,000 - $74,999",FV,Q018,Income,"$50,000 - $74,999",INC,INC5075,45.1
2013,AL,1018.0,"$75,000 or greater",FV,Q018,Income,"$75,000 or greater",INC,INC75PLUS,41.9
2013,AL,1179.0,Data not reported,FV,Q018,Income,Data not reported,INC,INCNR,44.8
2013,AL,1007.0,"$75,000 or greater",FV,Q019,Income,"$75,000 or greater",INC,INC75PLUS,15.9
2013,AL,1143.0,Data not reported,FV,Q019,Income,Data not reported,INC,INCNR,27.7
2013,AL,704.0,"$50,000 - $74,999",FV,Q019,Income,"$50,000 - $74,999",INC,INC5075,17.1
2013,AL,550.0,"$25,000 - $34,999",FV,Q019,Income,"$25,000 - $34,999",INC,INC2535,25.7
2013,AL,640.0,"$35,000 - $49,999",FV,Q019,Income,"$35,000 - $49,999",INC,INC3550,22.1
2013,AL,806.0,"Less than $15,000",FV,Q019,Income,"Less than $15,000",INC,INCLESS15,36.3
2013,AL,1021.0,"$15,000 - $24,999",FV,Q019,Income,"$15,000 - $24,999",INC,INC1525,36.1
2013,AL,809.0,"Less than $15,000",PA,Q043,Income,"Less than $15,000",INC,INCLESS15,36.3
2013,AL,1035.0,"$15,000 - $24,999",PA,Q043,Income,"$15,000 - $24,999",INC,INC1525,42.1
2013,AL,1005.0,"$75,000 or greater",PA,Q043,Income,"$75,000 or greater",INC,INC75PLUS,55.5
2013,AL,1171.0,Data not reported,PA,Q043,Income,Data not reported,INC,INCNR,40.8
2013,AL,557.0,"$25,000 - $34,999",PA,Q043,Income,"$25,000 - $34,999",INC,INC2535,45.0
2013,AL,626.0,"$35,000 - $49,999",PA,Q043,Income,"$35,000 - $49,999",INC,INC3550,47.4
2013,AL,712.0,"$50,000 - $74,999",PA,Q043,Income,"$50,000 - $74,999",INC,INC5075,48.3
2013,AL,798.0,"Less than $15,000",PA,Q044,Income,"Less than $15,000",INC,INCLESS15,9.4
2013,AL,1026.0,"$15,000 - $24,999",PA,Q044,Income,"$15,000 - $24,999",INC,INC1525,14.3
2013,AL,553.0,"$25,000 - $34,999",PA,Q044,Income,"$25,000 - $34,999",INC,INC2535,18.0
2013,AL,622.0,"$35,000 - $49,999",PA,Q044,Income,"$35,000 - $49,999",INC,INC3550,15.2
2013,AL,707.0,"$50,000 - $74,999",PA,Q044,Income,"$50,000 - $74,999",INC,INC5075,20.1
2013,AL,999.0,"$75,000 or greater",PA,Q044,Income,"$75,000 or greater",INC,INC75PLUS,18.7
2013,AL,1141.0,Data not reported,PA,Q044,Income,Data not reported,INC,INCNR,15.1
2013,AL,840.0,"Less than $15,000",PA,Q046,Income,"Less than $15,000",INC,INCLESS15,16.8
2013,AL,803.0,"Less than $15,000",PA,Q045,Income,"Less than $15,000",INC,INCLESS15,22.2
2013,AL,1027.0,"$15,000 - $24,999",PA,Q045,Income,"$15,000 - $24,999",INC,INC1525,23.8
2013,AL,552.0,"$25,000 - $34,999",PA,Q045,Income,"$25,000 - $34,999",INC,INC2535,31.2
2013,AL,625.0,"$35,000 - $49,999",PA,Q045,Income,"$35,000 - $49,999",INC,INC3550,26.9
2013,AL,711.0,"$50,000 - $74,999",PA,Q045,Income,"$50,000 - $74,999",INC,INC5075,30.3
2013,AL,995.0,"$75,000 or greater",PA,Q045,Income,"$75,000 or greater",INC,INC75PLUS,33.5
2013,AL,1164.0,Data not reported,PA,Q045,Income,Data not reported,INC,INCNR,23.6
2013,AL,1016.0,"$75,000 or greater",PA,Q046,Income,"$75,000 or greater",INC,INC75PLUS,27.9
2013,AL,1062.0,"$15,000 - $24,999",PA,Q046,Income,"$15,000 - $24,999",INC,INC1525,22.9
2013,AL,720.0,"$50,000 - $74,999",PA,Q046,Income,"$50,000 - $74,999",INC,INC5075,28.4
2013,AL,1218.0,Data not reported,PA,Q046,Income,Data not reported,INC,INCNR,25.5
2013,AL,576.0,"$25,000 - $34,999",PA,Q046,Income,"$25,000 - $34,999",INC,INC2535,29.8
2013,AL,651.0,"$35,000 - $49,999",PA,Q046,Income,"$35,000 - $49,999",INC,INC3550,21.9
2013,AL,851.0,"Less than $15,000",PA,Q047,Income,"Less than $15,000",INC,INCLESS15,40.3
2013,AL,1076.0,"$15,000 - $24,999",PA,Q047,Income,"$15,000 - $24,999",INC,INC1525,37.9
2013,AL,580.0,"$25,000 - $34,999",PA,Q047,Income,"$25,000 - $34,999",INC,INC2535,31.6
2013,AL,654.0,"$35,000 - $49,999",PA,Q047,Income,"$35,000 - $49,999",INC,INC3550,28.1
2013,AL,727.0,"$50,000 - $74,999",PA,Q047,Income,"$50,000 - $74,999",INC,INC5075,27.8
2013,AL,1023.0,"$75,000 or greater",PA,Q047,Income,"$75,000 or greater",INC,INC75PLUS,21.6
2013,AL,1253.0,Data not reported,PA,Q047,Income,Data not reported,INC,INCNR,33.9
2014,AL,1108.0,"Less than $15,000",OWS,Q036,Income,"Less than $15,000",INC,INCLESS15,34.5
2014,AL,1406.0,"$15,000 - $24,999",OWS,Q036,Income,"$15,000 - $24,999",INC,INC1525,40.6
2014,AL,776.0,"$25,000 - $34,999",OWS,Q036,Income,"$25,000 - $34,999",INC,INC2535,35.4
2014,AL,986.0,"$35,000 - $49,999",OWS,Q036,Income,"$35,000 - $49,999",INC,INC3550,35.5
2014,AL,959.0,"$50,000 - $74,999",OWS,Q036,Income,"$50,000 - $74,999",INC,INC5075,32.4
2014,AL,1425.0,"$75,000 or greater",OWS,Q036,Income,"$75,000 or greater",INC,INC75PLUS,31.0
2014,AL,1530.0,Data not reported,OWS,Q036,Income,Data not reported,INC,INCNR,28.0
2014,AL,1108.0,"Less than $15,000",OWS,Q037,Income,"Less than $15,000",INC,INCLESS15,27.7
2014,AL,1406.0,"$15,000 - $24,999",OWS,Q037,Income,"$15,000 - $24,999",INC,INC1525,30.2
2014,AL,776.0,"$25,000 - $34,999",OWS,Q037,Income,"$25,000 - $34,999",INC,INC2535,28.6
2014,AL,986.0,"$35,000 - $49,999",OWS,Q037,Income,"$35,000 - $49,999",INC,INC3550,37.9
2014,AL,959.0,"$50,000 - $74,999",OWS,Q037,Income,"$50,000 - $74,999",INC,INC5075,40.6
2014,AL,1425.0,"$75,000 or greater",OWS,Q037,Income,"$75,000 or greater",INC,INC75PLUS,35.4
2014,AL,1530.0,Data not reported,OWS,Q037,Income,Data not reported,INC,INCNR,32.7
2014,AL,1157.0,"Less than $15,000",PA,Q047,Income,"Less than $15,000",INC,INCLESS15,40.5
2014,AL,1450.0,"$15,000 - $24,999",PA,Q047,Income,"$15,000 - $24,999",INC,INC1525,37.0
2014,AL,804.0,"$25,000 - $34,999",PA,Q047,Income,"$25,000 - $34,999",INC,INC2535,29.0
2014,AL,1015.0,"$35,000 - $49,999",PA,Q047,Income,"$35,000 - $49,999",INC,INC3550,22.3
2014,AL,994.0,"$50,000 - $74,999",PA,Q047,Income,"$50,000 - $74,999",INC,INC5075,21.3
2014,AL,1467.0,"$75,000 or greater",PA,Q047,Income,"$75,000 or greater",INC,INC75PLUS,16.6
2014,AL,1752.0,Data not reported,PA,Q047,Income,Data not reported,INC,INCNR,29.3
2011,AK,271.0,"Less than $15,000",OWS,Q036,Income,"Less than $15,000",INC,INCLESS15,33.6
2011,AK,377.0,"$15,000 - $24,999",OWS,Q036,Income,"$15,000 - $24,999",INC,INC1525,30.2
2011,AK,224.0,"$25,000 - $34,999",OWS,Q036,Income,"$25,000 - $34,999",INC,INC2535,32.2
2011,AK,397.0,"$35,000 - $49,999",OWS,Q036,Income,"$35,000 - $49,999",INC,INC3550,24.5
2011,AK,524.0,"$50,000 - $74,999",OWS,Q036,Income,"$50,000 - $74,999",INC,INC5075,27.8
2011,AK,1109.0,"$75,000 or greater",OWS,Q036,Income,"$75,000 or greater",INC,INC75PLUS,26.9
2011,AK,434.0,Data not reported,OWS,Q036,Income,Data not reported,INC,INCNR,22.7
2011,AK,271.0,"Less than $15,000",OWS,Q037,Income,"Less than $15,000",INC,INCLESS15,24.6
2011,AK,377.0,"$15,000 - $24,999",OWS,Q037,Income,"$15,000 - $24,999",INC,INC1525,33.5
2011,AK,224.0,"$25,000 - $34,999",OWS,Q037,Income,"$25,000 - $34,999",INC,INC2535,38.1
2011,AK,397.0,"$35,000 - $49,999",OWS,Q037,Income,"$35,000 - $49,999",INC,INC3550,42.3
2011,AK,524.0,"$50,000 - $74,999",OWS,Q037,Income,"$50,000 - $74,999",INC,INC5075,41.6
2011,AK,1109.0,"$75,000 or greater",OWS,Q037,Income,"$75,000 or greater",INC,INC75PLUS,39.9
2011,AK,434.0,Data not reported,OWS,Q037,Income,Data not reported,INC,INCNR,43.7
2011,AK,388.0,"$35,000 - $49,999",FV,Q018,Income,"$35,000 - $49,999",INC,INC3550,37.2
2011,AK,1093.0,"$75,000 or greater",FV,Q018,Income,"$75,000 or greater",INC,INC75PLUS,31.9
2011,AK,515.0,"$50,000 - $74,999",FV,Q018,Income,"$50,000 - $74,999",INC,INC5075,39.1
2011,AK,416.0,Data not reported,FV,Q018,Income,Data not reported,INC,INCNR,43.6
2011,AK,357.0,"$15,000 - $24,999",FV,Q018,Income,"$15,000 - $24,999",INC,INC1525,44.6
2011,AK,212.0,"$25,000 - $34,999",FV,Q018,Income,"$25,000 - $34,999",INC,INC2535,45.6
2011,AK,250.0,"Less than $15,000",FV,Q018,Income,"Less than $15,000",INC,INCLESS15,46.5
2011,AK,236.0,"Less than $15,000",FV,Q019,Income,"Less than $15,000",INC,INCLESS15,35.0
2011,AK,354.0,"$15,000 - $24,999",FV,Q019,Income,"$15,000 - $24,999",INC,INC1525,26.1
2011,AK,217.0,"$25,000 - $34,999",FV,Q019,Income,"$25,000 - $34,999",INC,INC2535,24.4
2011,AK,389.0,"$35,000 - $49,999",FV,Q019,Income,"$35,000 - $49,999",INC,INC3550,19.4
2011,AK,521.0,"$50,000 - $74,999",FV,Q019,Income,"$50,000 - $74,999",INC,INC5075,16.5
2011,AK,1104.0,"$75,000 or greater",FV,Q019,Income,"$75,000 or greater",INC,INC75PLUS,11.8
2011,AK,412.0,Data not reported,FV,Q019,Income,Data not reported,INC,INCNR,27.0
2011,AK,245.0,"Less than $15,000",PA,Q043,Income,"Less than $15,000",INC,INCLESS15,56.0
2011,AK,358.0,"$15,000 - $24,999",PA,Q043,Income,"$15,000 - $24,999",INC,INC1525,51.8
2011,AK,211.0,"$25,000 - $34,999",PA,Q043,Income,"$25,000 - $34,999",INC,INC2535,57.9
2011,AK,390.0,"$35,000 - $49,999",PA,Q043,Income,"$35,000 - $49,999",INC,INC3550,55.1
2011,AK,517.0,"$50,000 - $74,999",PA,Q043,Income,"$50,000 - $74,999",INC,INC5075,59.3
2011,AK,1077.0,"$75,000 or greater",PA,Q043,Income,"$75,000 or greater",INC,INC75PLUS,63.2
2011,AK,414.0,Data not reported,PA,Q043,Income,Data not reported,INC,INCNR,52.7
2011,AK,442.0,Data not reported,PA,Q046,Income,Data not reported,INC,INCNR,32.7
2011,AK,231.0,"Less than $15,000",PA,Q044,Income,"Less than $15,000",INC,INCLESS15,22.3
2011,AK,349.0,"$15,000 - $24,999",PA,Q044,Income,"$15,000 - $24,999",INC,INC1525,17.3
2011,AK,209.0,"$25,000 - $34,999",PA,Q044,Income,"$25,000 - $34,999",INC,INC2535,20.2
2011,AK,385.0,"$35,000 - $49,999",PA,Q044,Income,"$35,000 - $49,999",INC,INC3550,21.6
2011,AK,512.0,"$50,000 - $74,999",PA,Q044,Income,"$50,000 - $74,999",INC,INC5075,26.1
2011,AK,1075.0,"$75,000 or greater",PA,Q044,Income,"$75,000 or greater",INC,INC75PLUS,30.8
2011,AK,405.0,Data not reported,PA,Q044,Income,Data not reported,INC,INCNR,23.1
2011,AK,242.0,"Less than $15,000",PA,Q045,Income,"Less than $15,000",INC,INCLESS15,38.1
2011,AK,353.0,"$15,000 - $24,999",PA,Q045,Income,"$15,000 - $24,999",INC,INC1525,32.7
2011,AK,210.0,"$25,000 - $34,999",PA,Q045,Income,"$25,000 - $34,999",INC,INC2535,38.2
2011,AK,385.0,"$35,000 - $49,999",PA,Q045,Income,"$35,000 - $49,999",INC,INC3550,34.1
2011,AK,514.0,"$50,000 - $74,999",PA,Q045,Income,"$50,000 - $74,999",INC,INC5075,32.6
2011,AK,1074.0,"$75,000 or greater",PA,Q045,Income,"$75,000 or greater",INC,INC75PLUS,44.8
2011,AK,408.0,Data not reported,PA,Q045,Income,Data not reported,INC,INCNR,33.6
2011,AK,247.0,"Less than $15,000",PA,Q046,Income,"Less than $15,000",INC,INCLESS15,30.3
2011,AK,364.0,"$15,000 - $24,999",PA,Q046,Income,"$15,000 - $24,999",INC,INC1525,28.1
2011,AK,219.0,"$25,000 - $34,999",PA,Q046,Income,"$25,000 - $34,999",INC,INC2535,24.5
2011,AK,392.0,"$35,000 - $49,999",PA,Q046,Income,"$35,000 - $49,999",INC,INC3550,31.4
2011,AK,524.0,"$50,000 - $74,999",PA,Q046,Income,"$50,000 - $74,999",INC,INC5075,37.7
2011,AK,1106.0,"$75,000 or greater",PA,Q046,Income,"$75,000 or greater",INC,INC75PLUS,38.0
2011,AK,263.0,"Less than $15,000",PA,Q047,Income,"Less than $15,000",INC,INCLESS15,25.0
2011,AK,373.0,"$15,000 - $24,999",PA,Q047,Income,"$15,000 - $24,999",INC,INC1525,24.6
2011,AK,223.0,"$25,000 - $34,999",PA,Q047,Income,"$25,000 - $34,999",INC,INC2535,25.8
2011,AK,398.0,"$35,000 - $49,999",PA,Q047,Income,"$35,000 - $49,999",INC,INC3550,25.7
2011,AK,530.0,"$50,000 - $74,999",PA,Q047,Income,"$50,000 - $74,999",INC,INC5075,19.2
2011,AK,1108.0,"$75,000 or greater",PA,Q047,Income,"$75,000 or greater",INC,INC75PLUS,17.1
2011,AK,454.0,Data not reported,PA,Q047,Income,Data not reported,INC,INCNR,27.2
2012,AK,357.0,"Less than $15,000",OWS,Q036,Income,"Less than $15,000",INC,INCLESS15,29.4
2012,AK,454.0,"$15,000 - $24,999",OWS,Q036,Income,"$15,000 - $24,999",INC,INC1525,24.2
2012,AK,344.0,"$25,000 - $34,999",OWS,Q036,Income,"$25,000 - $34,999",INC,INC2535,24.0
2012,AK,479.0,"$35,000 - $49,999",OWS,Q036,Income,"$35,000 - $49,999",INC,INC3550,27.3
2012,AK,636.0,"$50,000 - $74,999",OWS,Q036,Income,"$50,000 - $74,999",INC,INC5075,28.4
2012,AK,1300.0,"$75,000 or greater",OWS,Q036,Income,"$75,000 or greater",INC,INC75PLUS,26.4
2012,AK,523.0,Data not reported,OWS,Q036,Income,Data not reported,INC,INCNR,20.2
2012,AK,357.0,"Less than $15,000",OWS,Q037,Income,"Less than $15,000",INC,INCLESS15,36.0
2012,AK,454.0,"$15,000 - $24,999",OWS,Q037,Income,"$15,000 - $24,999",INC,INC1525,40.3
2012,AK,344.0,"$25,000 - $34,999",OWS,Q037,Income,"$25,000 - $34,999",INC,INC2535,38.0
2012,AK,479.0,"$35,000 - $49,999",OWS,Q037,Income,"$35,000 - $49,999",INC,INC3550,41.6
2012,AK,636.0,"$50,000 - $74,999",OWS,Q037,Income,"$50,000 - $74,999",INC,INC5075,37.8
2012,AK,1300.0,"$75,000 or greater",OWS,Q037,Income,"$75,000 or greater",INC,INC75PLUS,40.8
2012,AK,523.0,Data not reported,OWS,Q037,Income,Data not reported,INC,INCNR,35.5
2012,AK,375.0,"Less than $15,000",PA,Q047,Income,"Less than $15,000",INC,INCLESS15,28.2
2012,AK,468.0,"$15,000 - $24,999",PA,Q047,Income,"$15,000 - $24,999",INC,INC1525,26.3
2012,AK,362.0,"$25,000 - $34,999",PA,Q047,Income,"$25,000 - $34,999",INC,INC2535,25.5
2012,AK,499.0,"$35,000 - $49,999",PA,Q047,Income,"$35,000 - $49,999",INC,INC3550,21.8
2012,AK,667.0,"$50,000 - $74,999",PA,Q047,Income,"$50,000 - $74,999",INC,INC5075,13.4
2012,AK,1351.0,"$75,000 or greater",PA,Q047,Income,"$75,000 or greater",INC,INC75PLUS,11.1
2012,AK,614.0,Data not reported,PA,Q047,Income,Data not reported,INC,INCNR,22.4
2013,AK,381.0,"Less than $15,000",OWS,Q036,Income,"Less than $15,000",INC,INCLESS15,29.3
2013,AK,514.0,"$15,000 - $24,999",OWS,Q036,Income,"$15,000 - $24,999",INC,INC1525,32.7
2013,AK,353.0,"$25,000 - $34,999",OWS,Q036,Income,"$25,000 - $34,999",INC,INC2535,24.5
